county,state,season,report_num,latitude,longitude,date,number,classification,temp_hi,temp_lo,id
Washington County,Rhode Island,Fall,Report 6496: Bicycling student has night encounter,41.45,-71.5,1974,6496,Class A,78.17,73.425,44
Washita County,Oklahoma,Fall,Report 9765: Motorist and children have daylight sighting near Burns Flat.,35.3011,-99.1702,1973,9765,Class A,71.86,61.425,40
Washington County,Ohio,Summer,Report 4983: Sighting and vocalizations at a home in Wayne National Forest,39.38745,-81.67339,1971,4983,Class A,NA,NA,39
Westchester County,New York,Fall,Report 31940: Fishermen and Law Enforcement Officer Report Three Class A Sightings in Same Area Within a Year near the town of Somers,41.29873,-73.73717,2010,31940,Class A,92.24,80.81,36
Washoe County,Nevada,Fall,Report 5692: Father and son hear vocalizations on Peavine Mt,39.592,-119.975,1970,5692,Class B,NA,NA,32
Sullivan County,New Hampshire,Summer,Report 55269: Dawn sighting at Stevens Brook outside Claremont,43.41549,-72.33093,2016,55269,Class A,74.69,64.245,33
Thurston County,Nebraska,Spring,Report 59757: Possible daylight sighting of a Sasquatch on the Omaha Indian Reservation,42.15685,-96.34203,2018,59757,Class B,93.4,77.7,31
Ward County,North Dakota,Spring,Report 751: Hunter describes described being stalked near Minot,48.25422,-101.3166,2000,751,Class A,79.51,58.955,38
Yancey County,North Carolina,Spring,Report 3339: Deep impressions seen in the snow,35.74875,-82.26195,1988,3339,Class B,22.21,17.705,37
Stillwater County,Montana,Summer,Report 47215: Female fly fisherman's lucid recollection of classic territorial intimidation behavior of Saquatches ; 6mi NE of Mystic Lake,45.31278,-109.6449,1971,47215,Class B,NA,NA,30
Silver Bow County,Montana,Winter,Report 1757: Two separate sets of large footprints found,46.05292,-112.571,1988,1757,Class B,16.41,7.445,30
Silver Bow County,Montana,Summer,Report 25662: Hiker spots a bigfoot in the mountains east of Butte,45.9754,-112.4554,2007,25662,Class A,83.68,64.925,30
Yancey County,North Carolina,Summer,Report 30860: Daylight sighting by camper at Black Mountain Campground near Blue Ridge Parkway,35.75278,-82.22121,2011,30860,Class A,78.53,70.4,37
Warren County,New Jersey,Summer,Report 13276: Motorist has nightime sighting near Harmony,40.76345,-75.11044,2005,13276,Class B,29.43,26.54,34
Warren County,New Jersey,Winter,Report 17550: Nighttime sighting by motorist near Mansfield,40.8192,-74.85561,2007,17550,Class A,55.63,47.15,34
Warren County,New Jersey,Summer,Report 49883: Recollection of a possible late night stalking on Waterloo Road in Allamuchy,40.89452,-74.79077,2015,49883,Class B,49.06,46.65,34
Taos County,New Mexico,Spring,Report 4904: Professor and students discover series of large footprints crossing high mountain trail,36.599,-105.4113,2000,4904,Class B,51.96,34.875,35
Taos County,New Mexico,Fall,"Report 16207: Possible vocalizations, knocks heard by hunters in the Gallegos peak area",36.19625,-105.5596,2006,16207,Class B,66.78,55.555,35
Taos County,New Mexico,Winter,Report 28886: Couple driving home has night time sighting near Tres Piedras,36.65339,-105.9678,2011,28886,Class A,30.75,21.81,35
Washoe County,Nevada,Summer,Report 5697: Three boys encounter sasquatch in eroded terrain,39.679,-119.6665,1972,5697,Class A,NA,NA,32
Washoe County,Nevada,Summer,Report 5770: Four feral dogs chase sasquatch,39.679,-119.6665,1972,5770,Class B,NA,NA,32
Washington County,Ohio,Summer,"Report 3180: Early evening sighting by two children, near Layman",39.40877,-81.73172,1978,3180,Class A,77.04,71.555,39
Washington County,Ohio,Winter,Report 7220: A man relates a series of occurrences on the family farm involving an upright walking hair covered creature,39.54739,-81.39101,1978,7220,Class A,62.38,49.335,39
Washington County,Ohio,Summer,Report 4073: White hair covered creature seen at the edge of a cornfield,39.46019,-81.54855,1984,4073,Class A,79.83,75.785,39
Washington County,Ohio,Summer,Report 7085: Three boys playing games witness a huge creature walking through their front yard,39.3731,-81.65929,1990,7085,Class A,84.41,69.925,39
Washington County,Ohio,Fall,Report 26830: Group finds possible Bigfoot track in Wayne National Forest - w/photos of track and cast,39.42635,-81.37085,2009,26830,Class B,69.01,51.715,39
Washington County,Rhode Island,Summer,Report 6643: Mother and son see sasquatch closeup from road,41.432,-71.65183,1978,6643,Class A,68.56,65.805,44
Washington County,Rhode Island,Fall,Report 16746: Possible stick formation found by hiker in the Great Swamp,41.4596,-71.58906,2006,16746,Class B,46.6,39.75,44
Sanders County,Montana,Spring,Report 8999: Woman reports riverbank sighting,47.62167,-115.3903,2004,8999,Class A,50.66,40.55,30
Richland County,Montana,Winter,Report 1695: Motorist sees long-haired upright animal walking across snow-covered road,47.70667,-104.1922,1979,1695,Class A,NA,NA,30
Ravalli County,Montana,Fall,Report 13383: Hunting guide recalls an encouter with a Bigfoot crouching behind a root ball in Bowls Creek,46.02962,-113.1198,1991,13383,Class A,73.21,48.745,30
Phillips County,Montana,Winter,Report 33257: Tow truck driver watches a creature drag an elk away from accident site south of Malta on Hwy. 191,47.66724,-108.6873,2011,33257,Class A,35.12,21.305,30
Park County,Montana,Spring,"Report 1693: While scouting a timbered hill at 7000', hikers see a bipedal animal stand up & walk away",46.01833,-110.3308,1989,1693,Class A,54.41,NA,30
Missoula County,Montana,Summer,Report 1614: Young horseback rider has a face-to-face encounter in the Rattlesnake Wilderness Area,46.97694,-113.8381,1977,1614,Class A,76.73,60.265,30
Meagher County,Montana,Spring,Report 36281: Close daylight sighting by a fisherman near White Sulphur Springs,46.76389,-110.7781,2010,36281,Class A,43.79,39.525,30
Madison County,Montana,Fall,Report 30384: Cousins view a large biped figure on opening day near Virginia City,45.12266,-111.563,1978,30384,Class B,NA,NA,30
Lincoln County,Montana,Summer,Report 10260: Four climbers report repeated vocalizations,48.27011,-115.6418,1978,10260,Class B,NA,NA,30
Lewis And Clark County,Montana,Summer,Report 1530: Fly Fisherman sees a hairy bipedal creature while trout fishing,46.76472,-111.8861,1977,1530,Class A,81.01,64.545,30
Jefferson County,Montana,Winter,"Report 63148: Possible Daylight Sighting near Tizer Lakes, reported by snowmobilers",46.24,-111.75,2019,63148,Class B,19.79,9.61,30
Granite County,Montana,Fall,"Report 1518: Campers hear something ""running"" through camp & find very large footprints",46.18694,-113.6925,1994,1518,Class B,NA,NA,30
Glacier County,Montana,Fall,Report 1517: Horse-riding witnesses see hairy bipedal animal cross trail on Blackfeet Reservation,48.36139,-113.1236,1982,1517,Class A,NA,NA,30
Gallatin County,Montana,Summer,"Report 1454: Three backpackers see a large, massive upright animal running on two legs through the brush in Gallatin Nat'l Forest",45.22417,-111.125,1993,1454,Class A,NA,NA,30
Flathead County,Montana,Fall,Report 21907: Possible sighting and wood knocks heard near Swan Lake,47.60413,-113.7593,2010,21907,Class B,55.28,41.2,30
Flathead County,Montana,Fall,Report 36759: Deer hunter on the Flathead Indian Reservation passes a tall biped on the roadside,47.57549,-144.0265,2012,36759,Class B,NA,NA,30
Flathead County,Montana,Spring,Report 62969: Daylight sighting by motorist on Crane Mountain outside Kalispell,47.98521,-113.9818,2019,62969,Class A,77.54,64.795,30
Gallatin County,Montana,Spring,Report 63362: Three field biologists describe possible sasquatch vocalizations outside Big Sky,45.14665,-111.0834,1993,63362,Class B,NA,NA,30
Gallatin County,Montana,Summer,Report 50297: Horse boarder hears possible vocalizations late at night west of Belgrade,45.7922,-111.3637,2015,50297,Class B,20.49,12.92,30
Gallatin County,Montana,Spring,Report 51959: Possible tracks found along hiking trail outside Bozeman,45.61331,-110.7897,2016,51959,Class B,55.02,44.135,30
